vx,final_max,final_min,final_mean,total_mass,retention_ratio,spread_width,point_max,point_final,peak_time,arrival_time
0.1,0.2020211929212696,0.0,0.02489474033314559,135.54305081567472,0.7468422099943677,0.0,0.0028513682761309974,0.0028513682761309974,20.0,12.0
0.25,0.21375464581248377,0.0,0.029526604358858486,160.76191120975582,0.8857981307657546,0.0,0.022680795426376417,0.022680795426376417,20.0,12.0
0.5,0.2189834609694507,0.0,0.031147341087281857,169.58624911405732,0.9344202326184559,0.0,0.15996882796790923,0.15996882796790923,20.0,10.0
1.0,0.1132183363183911,0.0,0.024485148165140195,133.31296641637132,0.7345544449542061,0.0,0.19734502598267276,0.05278726181317745,10.0,4.0
2.0,0.012438610761759061,0.0,0.0012797282524506452,6.96766743621041,0.03839184757351936,0.0,0.27513824477257603,0.0003803939914991035,6.0,4.0
